"CategoryID","CategoryName","ProductCount"
"1","Faucibus.","5"
"2","Senectus.","3"
"3","Nullam.","10"
"4","Habitasse.","3"
"5","Id.","2"
"6","Senectus!","8"
"7","Praesent.","7"
"8","Risus.","4"
"9","Rutrum?","9"
"10","Ipsum.","1"
"11","Dui.","7"
"12","Sollicitudin.","2"
"13","Interdum.","1"
"14","Turpis.","1"
"15","Dictumst.","1"
"16","Interdum.","5"
"17","Pharetra.","8"
"18","Phasellus.","2"
"19","Commodo.","0"
"20","Maecenas.","3"
"21","Fermentum.","8"
"22","Nulla!","6"
"23","Parturient.","8"
"24","Montes.","1"
"25","Gravida.","8"
"26","Gravida.","8"
"27","Elit?","5"
"28","Enim.","5"
"29","Tortor.","10"
"30","Praesent.","6"
"31","Erat!","1"
"32","Laoreet.","8"
"33","Molestie!","6"
"34","Aliquet.","6"
"35","Sapien.","6"
"36","Conubia.","7"
"37","Justo.","5"
"38","Feugiat.","3"
"39","Vel.","3"
"40","Magnis.","3"
"41","Dapibus.","2"
"42","Praesent.","4"
"43","Commodo.","1"
"44","Netus.","2"
"45","Hendrerit.","1"
"46","Proin.","7"
"47","Ipsum!","6"
"48","Malesuada.","9"
"49","Platea.","6"
"50","Quam?","2"
"51","Orci.","8"
"52","A?","6"
"53","Ultrices?","2"
"54","Nulla!","9"
"55","Mus?","4"
"56","Turpis.","9"
"57","Torquent.","4"
"58","Bibendum.","2"
"59","A.","4"
"60","Leo?","3"
"61","Habitasse.","4"
"62","Nullam.","2"
"63","Erat.","9"
"64","Etiam.","0"
"65","Aliquam.","1"
"66","Porttitor.","6"
"67","Cubilia.","5"
"68","Vehicula.","8"
"69","Etiam.","3"
"70","Mauris.","1"
"71","Diam.","8"
"72","Congue.","3"
"73","Cras.","2"
"74","Tortor.","7"
"75","Aenean.","6"
"76","Sed.","1"
"77","Hac.","10"
"78","Iaculis!","8"
"79","Eleifend.","0"
"80","Cras.","4"
"81","Justo.","0"
"82","Dictum.","9"
"83","Magna.","7"
"84","Lacus.","1"
"85","Gravida.","0"
"86","Laoreet.","1"
"87","Ultricies.","5"
"88","Consequat.","3"
"89","Magnis.","0"
"90","Accumsan.","5"
"91","Congue.","0"
"92","Aliquam.","1"
"93","Condimentum.","7"
"94","Tellus.","3"
"95","Curae;.","4"
"96","Porttitor.","5"
"97","Placerat.","0"
"98","Sem.","6"
"99","Per!","3"
"100","Mattis.","5"
"101","Sagittis.","2"
"102","Maecenas.","5"
"103","Aliquam.","1"
"104","Nostra.","5"
"105","Suspendisse.","4"
"106","Sagittis.","10"
"107","Cras.","0"
"108","Dis.","4"
"109","Laoreet.","6"
"110","Fames.","10"
"111","Velit.","2"
"112","Tempor.","6"
"113","Dolor.","4"
"114","Sociosqu.","8"
"115","In.","9"
"116","Vehicula.","1"
"117","Malesuada.","9"
"118","Phasellus!","5"
"119","Molestie.","5"
"120","Maecenas.","7"
"121","Nisi.","7"
"122","Risus.","6"
"123","Venenatis.","2"
"124","Ultricies.","3"
"125","Viverra.","5"
"126","Mollis.","3"
"127","In.","3"
"128","Elementum!","4"
"129","Fames.","6"
"130","Sollicitudin.","4"
"131","Odio!","4"
"132","Litora.","3"
"133","Varius.","6"
"134","Non.","9"
"135","Commodo.","3"
"136","Sapien.","7"
"137","Mattis.","5"
"138","Gravida.","7"
"139","Proin.","3"
"140","Malesuada.","3"
"141","Mattis.","5"
"142","Ultricies.","1"
"143","Maecenas.","3"
"144","Nisi.","1"
"145","Est.","8"
"146","Suspendisse.","2"
"147","Turpis.","9"
"148","Iaculis.","3"
"149","Fames.","2"
"150","Nam.","10"
"151","A?","3"
"152","Laoreet!","6"
"153","Per.","7"
"154","Mus.","1"
"155","Dapibus.","9"
"156","Volutpat.","1"
"157","Ridiculus.","5"
"158","Dis.","9"
"159","Fames.","8"
"160","Quis!","5"
"161","Rhoncus.","4"
"162","Eu.","2"
"163","Tempor!","5"
"164","Torquent.","9"
"165","Venenatis.","7"
"166","Fusce.","6"
"167","Sapien.","1"
"168","Taciti.","6"
"169","Sagittis.","9"
"170","Ornare.","3"
"171","Morbi?","4"
"172","Feugiat.","9"
"173","Quam.","7"
"174","Sapien.","0"
"175","Pulvinar.","3"
"176","Parturient.","7"
"177","Ullamcorper!","6"
"178","Hendrerit.","2"
"179","Lacus?","2"
"180","Nibh.","6"
"181","Dignissim!","6"
"182","Diam.","4"
"183","Arcu.","9"
"184","Libero.","6"
"185","Torquent!","4"
"186","Lacus.","7"
"187","Tristique.","8"
"188","Mollis.","0"
"189","Consequat.","5"
"190","Eleifend.","8"
"191","Elit.","8"
"192","Platea.","8"
"193","Vehicula.","10"
"194","Taciti.","5"
"195","Pretium.","10"
"196","Sed.","5"
"197","Vivamus.","3"
"198","Cras.","7"
"199","Nisl.","6"
"200","Velit.","3"
"201","Ullamcorper.","10"
"202","Inceptos.","9"
"203","Morbi.","6"
"204","Odio!","4"
"205","Mattis.","0"
"206","Nostra.","6"
"207","Sodales.","10"
"208","Suscipit.","8"
"209","Interdum!","6"
"210","Neque.","2"
"211","Amet.","4"
"212","Ligula?","6"
"213","Nisi.","1"
"214","Consequat.","5"
"215","Ad.","6"
"216","Commodo!","0"
"217","Duis.","1"
"218","Felis.","3"
"219","Dui.","3"
"220","Facilisis.","6"
"221","Auctor.","5"
"222","Tellus.","6"
"223","Dui.","7"
"224","Placerat.","1"
"225","Quam.","0"
"226","Vivamus.","9"
"227","Arcu.","2"
"228","Condimentum.","0"
"229","Fusce.","8"
"230","Scelerisque.","0"
"231","Leo.","3"
"232","Odio.","3"
"233","Purus.","7"
"234","Orci.","8"
"235","Consequat!","2"
"236","Volutpat.","8"
"237","Fames.","5"
"238","Suscipit.","3"
"239","Eu.","2"
"240","Id?","10"
"241","A.","6"
"242","Curae;.","7"
"243","Felis.","7"
"244","Curabitur!","7"
"245","Vel!","1"
"246","Magnis.","2"
"247","Parturient.","8"
"248","Volutpat.","5"
"249","Platea.","5"
"250","Aliquet.","5"
"251","Porta.","3"
"252","At.","5"
"253","Potenti.","9"
"254","Ad.","7"
"255","Lobortis.","6"
"256","Purus.","0"
"257","Sociis.","6"
"258","Vitae.","7"
"259","Penatibus.","7"
"260","Etiam.","4"
"261","Dapibus.","6"
"262","Neque.","2"
"263","Purus.","3"
"264","Ornare.","9"
"265","Lacinia!","9"
"266","Malesuada.","7"
"267","Habitant?","4"
"268","Nisi.","3"
"269","Nec.","4"
"270","Nam?","4"
"271","Hac.","5"
"272","Malesuada.","2"
"273","Convallis.","0"
"274","Egestas.","7"
"275","Elit.","9"
"276","Nunc.","9"
"277","Convallis.","3"
"278","Tristique.","7"
"279","Posuere.","7"
"280","Justo?","1"
"281","Cras.","3"
"282","Risus.","8"
"283","Cum.","3"
"284","Venenatis.","2"
"285","Faucibus.","10"
"286","Odio.","5"
"287","Neque.","8"
"288","Dictum!","7"
"289","Per?","9"
"290","Adipiscing.","5"
"291","Porttitor.","7"
"292","Sodales.","7"
"293","Lorem.","8"
"294","Inceptos.","6"
"295","Enim!","2"
"296","Tortor.","7"
"297","Augue!","7"
"298","Phasellus.","2"
"299","Quis?","8"
"300","Turpis.","4"
"301","Interdum?","3"
"302","Non!","7"
"303","Pretium.","8"
"304","Nibh?","2"
"305","Netus.","5"
"306","Conubia.","5"
"307","Tempus.","9"
"308","Feugiat.","6"
"309","Gravida.","1"
"310","Imperdiet.","5"
"311","Faucibus.","9"
"312","Lectus.","3"
"313","Imperdiet.","6"
"314","Inceptos!","6"
"315","Aliquam.","5"
"316","Placerat.","3"
"317","Dolor.","10"
"318","Litora.","3"
"319","Pretium.","6"
"320","Fringilla.","1"
"321","Tellus?","9"
"322","Taciti.","7"
"323","Integer.","6"
"324","Mollis.","10"
"325","Ridiculus.","1"
"326","Suscipit.","10"
"327","In.","2"
"328","Facilisi!","8"
"329","Inceptos.","9"
"330","Ornare.","2"
"331","Velit.","5"
"332","Parturient.","6"
"333","Fermentum.","6"
"334","Taciti.","10"
"335","Tortor.","0"
"336","Interdum.","9"
"337","Dignissim.","6"
"338","Mauris.","1"
"339","Proin.","1"
"340","Elementum.","0"
"341","Semper?","1"
"342","Bibendum!","4"
"343","Augue.","8"
"344","Dictum!","5"
"345","Senectus!","6"
"346","Sollicitudin.","2"
"347","Fermentum.","1"
"348","Sodales.","4"
"349","Ultrices.","9"
"350","Vestibulum.","3"
"351","Tincidunt.","10"
"352","Aenean.","8"
"353","Metus.","9"
"354","Elementum.","2"
"355","Aenean.","5"
"356","Etiam.","6"
"357","Curabitur!","0"
"358","Turpis.","4"
"359","Ornare.","9"
"360","Curabitur!","1"
"361","Lacus.","7"
"362","Feugiat.","7"
"363","Justo.","0"
"364","Est.","4"
"365","Integer.","2"
"366","Interdum.","8"
"367","Fermentum.","2"
"368","Iaculis.","8"
"369","Himenaeos.","6"
"370","Magna.","6"
"371","Orci.","1"
"372","Ligula!","0"
"373","Netus.","4"
"374","Curabitur.","2"
"375","Dui?","8"
"376","Auctor.","6"
"377","Tincidunt!","2"
"378","Cubilia.","2"
"379","Habitasse.","3"
"380","Habitant.","9"
"381","Congue!","2"
"382","Nisi.","5"
"383","Proin.","2"
"384","In.","3"
"385","Urna!","2"
"386","Urna.","3"
"387","Ullamcorper.","8"
"388","Etiam.","6"
"389","Et?","9"
"390","Velit.","7"
"391","Neque.","8"
"392","Placerat?","3"
"393","Pulvinar.","3"
"394","Hendrerit.","1"
"395","Quisque.","5"
"396","Etiam.","1"
"397","Maecenas.","8"
"398","Volutpat.","3"
"399","Aenean.","2"
"400","Fermentum.","1"
"401","Cras.","6"
"402","Id.","5"
"403","Primis.","9"
"404","Ipsum.","7"
"405","Egestas.","3"
"406","Lacus!","6"
"407","Facilisi?","6"
"408","Sem.","4"
"409","Accumsan!","10"
"410","Molestie.","6"
"411","Ullamcorper.","5"
"412","Varius.","3"
"413","Nibh.","9"
"414","Laoreet.","7"
"415","Eros.","8"
"416","Ac.","3"
"417","Felis.","4"
"418","Sem.","2"
"419","Montes!","3"
"420","Vitae.","9"
"421","Placerat.","1"
"422","Consequat.","0"
"423","Pharetra.","7"
"424","Adipiscing?","3"
"425","Himenaeos.","7"
"426","Adipiscing.","2"
"427","Per.","4"
"428","Himenaeos.","3"
"429","Augue.","1"
"430","Nisl.","1"
"431","Auctor.","5"
"432","Justo.","8"
"433","Natoque.","2"
"434","Dolor?","9"
"435","Taciti.","2"
"436","Sem.","1"
"437","Massa.","1"
"438","Venenatis.","5"
"439","Magna.","5"
"440","Venenatis.","10"
"441","Magnis.","7"
"442","Pharetra.","2"
"443","Pulvinar.","7"
"444","Sodales.","5"
"445","Suspendisse!","7"
"446","Amet.","9"
"447","Enim.","8"
"448","Justo.","9"
"449","Praesent.","6"
"450","Ultrices.","4"
"451","Dictumst.","3"
"452","Eu.","8"
"453","Aptent.","2"
"454","Etiam.","4"
"455","Mollis.","5"
"456","Cursus.","8"
"457","Dignissim.","4"
"458","Turpis.","1"
"459","Curabitur!","4"
"460","Rhoncus.","5"
"461","Condimentum.","6"
"462","Conubia.","7"
"463","Ante.","1"
"464","Vitae?","9"
"465","Viverra.","7"
"466","Litora.","6"
"467","Class.","8"
"468","Morbi?","8"
"469","Nostra?","7"
"470","Lectus.","3"
"471","Etiam.","1"
"472","Faucibus.","0"
"473","Pulvinar.","9"
"474","Egestas.","4"
"475","Leo.","6"
"476","Parturient.","10"
"477","Augue.","9"
"478","Vulputate.","2"
"479","Et.","3"
"480","Varius.","2"
"481","Duis.","1"
"482","Tristique.","4"
"483","Tellus!","3"
"484","Himenaeos.","9"
"485","Massa.","10"
"486","Primis.","2"
"487","Tristique.","0"
"488","Morbi.","3"
"489","Consequat.","6"
"490","Adipiscing.","8"
"491","Id!","0"
"492","Platea.","9"
"493","Vehicula.","1"
"494","Praesent.","5"
"495","Scelerisque.","5"
"496","Mattis.","3"
"497","Per.","1"
"498","Luctus.","5"
"499","Dis?","2"
"500","Tristique.","7"
"501","Nullam.","6"
"502","Primis.","8"
"503","Egestas.","4"
"504","Euismod.","8"
"505","Diam.","2"
"506","Gravida.","10"
"507","Himenaeos.","4"
"508","Ridiculus.","1"
"509","Lobortis.","1"
"510","Sodales.","5"
"511","Nec.","10"
"512","Ac!","7"
"513","Convallis.","3"
"514","Augue.","8"
"515","Ullamcorper.","8"
"516","Fringilla.","7"
"517","Ornare.","10"
"518","Senectus.","0"
"519","Gravida?","8"
"520","Dapibus.","1"
"521","Nunc.","7"
"522","Eu.","4"
"523","Tempor?","5"
"524","Mi.","5"
"525","Est.","7"
"526","Vulputate?","1"
"527","Tempus.","1"
"528","Praesent.","1"
"529","Elementum.","9"
"530","Tortor?","9"
"531","Velit.","3"
"532","Ridiculus.","2"
"533","Phasellus.","5"
"534","Posuere.","5"
"535","Adipiscing!","4"
"536","Facilisi.","6"
"537","Montes.","9"
"538","Aliquet.","6"
"539","Amet.","8"
"540","Torquent!","0"
"541","Eu.","1"
"542","Auctor.","2"
"543","Vel?","1"
"544","Felis.","9"
"545","Ad.","6"
"546","A.","7"
"547","Sociis?","6"
"548","Mattis.","5"
"549","Porta!","7"
"550","Id.","4"
"551","Dolor.","1"
"552","Lobortis.","9"
"553","Praesent.","9"
"554","Viverra.","5"
"555","Litora.","9"
"556","Magnis!","6"
"557","Fermentum.","8"
"558","Sagittis.","7"
"559","Augue.","6"
"560","Ornare.","7"
"561","Natoque.","4"
"562","Netus.","2"
"563","Aliquam!","0"
"564","Lorem.","0"
"565","Lacinia.","8"
"566","Tortor!","7"
"567","Iaculis.","6"
"568","Hendrerit.","4"
"569","Vestibulum.","1"
"570","Vestibulum.","8"
"571","Odio.","0"
"572","Penatibus.","6"
"573","Commodo.","3"
"574","Tristique.","10"
"575","Cubilia.","8"
"576","Senectus.","8"
"577","Est!","10"
"578","Pharetra.","8"
"579","Quis?","2"
"580","Senectus.","4"
"581","Mi.","2"
"582","Potenti.","8"
"583","Sit.","9"
"584","Natoque.","4"
"585","Nascetur.","2"
"586","Nostra.","5"
"587","Nec.","1"
"588","Euismod?","1"
"589","Praesent.","7"
"590","Cras.","7"
"591","Proin.","3"
