"SubCategoryID","SubCategoryName","CategoryID","ProductCount"
"1","Aliquet!","36","2"
"2","Dictumst?","313","5"
"3","Enim.","728","8"
"4","Magna.","97","10"
"5","Sociosqu.","311","8"
"6","Et.","787","5"
"7","Porttitor.","431","2"
"8","Dolor.","595","8"
"9","Tempor.","14","4"
"10","Aliquam.","951","1"
"11","Porta.","986","2"
"12","Dictum.","436","1"
"13","Magnis.","266","7"
"14","Phasellus.","384","9"
"15","Ad.","952","6"
"16","Nibh.","80","6"
"17","Fermentum!","200","9"
"18","Lacinia.","279","9"
"19","Pretium.","542","2"
"20","Quam.","841","1"
"21","Integer.","571","10"
"22","Ultricies.","637","6"
"23","Dictum.","710","4"
"24","Tempus.","531","8"
"25","Turpis.","506","6"
"26","Fusce.","168","6"
"27","Suscipit!","283","5"
"28","Mi.","474","7"
"29","Tellus.","246","3"
"30","Nisi.","313","5"
"31","Magna.","91","10"
"32","Amet.","445","8"
"33","Lorem!","986","10"
"34","Pharetra.","46","10"
"35","Condimentum!","345","8"
"36","Lacinia.","314","9"
"37","Gravida.","147","1"
"38","Vel.","361","4"
"39","Molestie.","707","9"
"40","Viverra.","421","3"
"41","Nunc.","682","5"
"42","Rhoncus.","619","9"
"43","Augue.","801","7"
"44","Torquent.","987","4"
"45","Nam.","279","1"
"46","Condimentum.","143","1"
"47","Inceptos.","117","2"
"48","Velit!","70","6"
"49","Parturient.","527","2"
"50","Tellus!","737","8"
"51","Sapien.","539","7"
"52","Magna!","870","7"
"53","Scelerisque.","427","2"
"54","Cursus!","43","3"
"55","Duis.","981","7"
"56","Quisque.","419","6"
"57","Dis.","819","2"
"58","Integer.","871","6"
"59","A?","827","1"
"60","Praesent.","925","1"
"61","Eleifend.","594","6"
"62","Mauris.","954","1"
"63","Eget.","172","6"
"64","Dictum.","325","4"
"65","Tempus.","765","5"
"66","Vel.","735","9"
"67","Egestas.","75","8"
"68","Penatibus.","810","7"
"69","Sodales!","770","5"
"70","Scelerisque.","149","3"
"71","Luctus?","305","2"
"72","Nulla.","386","10"
"73","Eleifend?","585","4"
"74","Orci.","523","7"
"75","Aliquam.","286","2"
"76","Facilisis.","725","4"
"77","Cubilia.","504","2"
"78","Senectus.","22","3"
"79","Etiam.","236","5"
"80","Vehicula.","864","2"
"81","Fames.","684","10"
"82","Massa.","291","2"
"83","Ultrices.","702","3"
"84","Sociosqu.","526","10"
"85","Commodo.","797","4"
"86","Natoque!","215","8"
"87","Rhoncus.","979","8"
"88","Scelerisque.","104","9"
"89","At.","394","7"
"90","Blandit.","948","4"
"91","Malesuada.","133","7"
"92","Turpis!","585","1"
"93","Lobortis?","818","3"
"94","Mus.","623","7"
"95","Bibendum.","579","10"
"96","Sem.","962","3"
"97","Luctus.","780","3"
"98","Suscipit.","399","2"
"99","Laoreet?","484","7"
"100","Facilisi.","904","4"
"101","Aliquam.","925","4"
"102","Varius.","773","3"
"103","Eleifend.","414","9"
"104","Etiam.","736","4"
"105","Odio.","10","3"
"106","Tempus?","293","8"
"107","Id?","978","3"
"108","Nec!","990","1"
"109","Torquent.","511","6"
"110","Class.","92","4"
"111","Commodo.","451","9"
"112","Purus.","99","1"
"113","Pharetra.","795","2"
"114","Fermentum.","916","4"
"115","Porttitor.","557","3"
"116","Magna.","973","7"
"117","Sociis.","163","4"
"118","Integer.","537","4"
"119","Platea.","937","8"
"120","Nisi.","539","1"
"121","Fames.","396","8"
"122","Sit?","712","4"
"123","Class.","983","6"
"124","Posuere?","488","2"
"125","Lorem.","635","5"
"126","Dis.","125","6"
"127","Natoque.","32","7"
"128","Lobortis?","799","5"
"129","Sociis.","692","8"
"130","Viverra.","924","8"
"131","Convallis.","135","9"
"132","Nulla?","802","8"
"133","A.","147","8"
"134","Malesuada!","824","6"
