"ProductID","ProductSKU","ProductName","ProductPrice","ProductWeight","ProductCartDesc","ProductShortDesc","ProductLongDesc","ProductThumb","ProductImage","ProductCategoryID","ProductSubCategoryID","ProductUpdateDate","ProductStock","ProductLive","ProductRating","ProductLocation","SellerID"
"1","06620288","Eclipse 900-250 Solder Aid Tool Set W/reverse Tweezers And Heat Sink","670","7","a","a","a","a","a","79","473","2014-03-31T01:21:01","517","a","5","Overland Park","481"
"2","12806577","Campbell Hausfeld Gravity-feed Spray Gun With Grab N Go Case","534","10","a","a","a","a","a","763","618","2014-09-15T01:55:32","451","a","2","Memphis","127"
"3","30211827","California Air Tools 1.6 Gallon Ultra Quiet And Oil-free 1/2 Hp Aluminum Tank Air Compressor","529","5","a","a","a","a","a","872","242","2014-07-12T02:41:48","698","a","1","Independence","274"
"4","29426744","Apex Tool Group, Llc-tools 8125n Soldering Gun Tip","139","8","a","a","a","a","a","499","482","2016-01-21T05:45:23","199","a","3","Fargo","535"
"5","12177462","Black & Decker 15a 7.25"" Fatmax Circular Saw","106","3","a","a","a","a","a","840","665","2016-04-15T09:24:45","89","a","1","Little Rock","963"
"6","54894662","Dremel Workstation, 220-01","498","5","a","a","a","a","a","507","884","2014-12-11T11:39:43","733","a","4","Omaha","954"
"7","23680784","Skil Mag77lt 7-1/4in 15 Amp Circular Saw","664","3","a","a","a","a","a","382","916","2014-12-01T06:29:55","649","a","0","Naperville","214"
"8","29422067","Black & Decker Matrix Oscillating Head Attachment, Bdcmto","156","6","a","a","a","a","a","862","77","2014-04-30T09:46:40","851","a","4","Clarksville","752"
"9","44945091","Bostitch 8.5 Amp Orbital Reciprocating Saw And Bonus Saw Blade Set Bundle","404","5","a","a","a","a","a","382","15","2016-02-22T08:01:34","557","a","1","Grand Rapids","601"
"10","07426766","Hitachi 4"" 5 Amp Angle Grinder","897","8","a","a","a","a","a","948","965","2015-10-15T05:59:32","186","a","4","Yonkers","830"
"11","30109124","Dremel 6800-01 120v Trio Rotary Tool Kit, Refurbished","386","8","a","a","a","a","a","563","2","2014-07-01T06:52:52","483","a","1","Little Rock","153"
"12","30081116","Skil 74102 10in 200 Tooth Steel Circular Saw Blade","268","10","a","a","a","a","a","557","854","2015-03-11T05:24:52","250","a","4","Grand Rapids","609"
"13","54549081","Dremel Mm610 Flexible Scraper Blade","10","7","a","a","a","a","a","471","505","2014-10-26T07:21:53","711","a","4","Phoenix","346"
"14","11403470","Dremel 8v Max Cordless Rotary Tool, 8100-n/21","98","6","a","a","a","a","a","176","305","2015-07-13T10:43:12","336","a","2","Shreveport","807"
"15","09671836","Bosch 4395-01 Orbital Action Jigsaw","566","9","a","a","a","a","a","463","752","2015-06-13T11:36:52","465","a","5","Alexandria","594"
"16","27687611","Bostitch .5"" Vsr 2-speed Hammerdrill/drill, Bte140k","268","5","a","a","a","a","a","155","162","2016-08-16T06:48:49","580","a","0","Oklahoma City","455"
"17","49017694","Skil 2860-10 18-volt Drill And Circular Saw Combo Kit","285","5","a","a","a","a","a","748","772","2016-03-15T07:00:10","613","a","4","Oxnard","890"
"18","74998623","Black & Decker Workmate 425 550-pound Capacity Portable Work Bench, Wm425","273","9","a","a","a","a","a","395","524","2015-05-09T02:49:02","707","a","2","Yonkers","71"
"19","30476936","Powryte 3/8"" Air Impact Wrench, 100101a","146","2","a","a","a","a","a","502","534","2014-06-03T08:49:22","440","a","2","Phoenix","244"
"20","46871329","Gyros 45-20265 High Speed Steel Wire Gauge Drill Bit No.65 Set Of 2","577","3","a","a","a","a","a","831","558","2014-05-07T08:04:48","940","a","1","Plano","600"
"21","09426979","North American Tool 51872 80-piece Mini Rotary Tool Kit","60","3","a","a","a","a","a","244","616","2014-01-05T01:08:45","527","a","3","Rochester","975"
"22","05961177","Primefit Industrial-grade Retractable Air Hose Reel With 50 Rubber Air Hose","366","4","a","a","a","a","a","892","894","2014-05-14T07:23:03","604","a","5","Tallahassee","601"
"23","48078559","Bosch 2250-01 14.4 Volt Single Speed Cordless Drill And Driver","763","9","a","a","a","a","a","816","161","2014-02-17T06:29:02","368","a","2","San Antonio","195"
"24","02463155","Campbell Hausfeld 3.5 Round-head Framing Nailer Kit (21 Degree)","675","2","a","a","a","a","a","799","175","2015-07-08T12:42:32","894","a","3","Naperville","33"
"25","96153086","Hitachi 2"" 18-gauge Finish Brad Nailer","899","2","a","a","a","a","a","392","262","2015-03-12T07:49:16","666","a","3","Grand Rapids","606"
"26","45240775","Jgb Enterprises 001-0121-050i Eagle Air 300 No. Red Jackhammer Hose Cpld Chicago Fittings Crimped","820","10","a","a","a","a","a","997","35","2014-03-15T05:58:39","299","a","1","Oxnard","636"
"27","58183151","Ad-tech: High-temp Glue Sticks, 7/16"" X 4"", 50pk","324","5","a","a","a","a","a","262","686","2015-01-09T05:56:25","5","a","0","Wichita","553"
"28","34077481","Black And Decker 1/2"" 7-amp Variable Speed Drill, Dr560","481","1","a","a","a","a","a","448","672","2014-02-22T07:36:54","344","a","2","Ann Arbor","287"
"29","68423438","Bostitch 18v Lithium Drill/impact Combo Kit, Btck410l2","132","7","a","a","a","a","a","718","186","2015-10-15T10:45:04","551","a","2","Cedar Rapids","192"
"30","99724184","50 Air Hose Reel","212","3","a","a","a","a","a","151","608","2015-06-18T12:55:03","586","a","3","Bellevue","457"
"31","97335153","Positec Usa Inc Rk7867 6"" 1/2 Hp Pro Series Bench Grinder","292","10","a","a","a","a","a","28","567","2014-06-12T07:44:20","459","a","2","Amarillo","233"
"32","48185301","Dewalt Speed Tip 14 Piece Titanium Drill Bit Set Dw1341","833","6","a","a","a","a","a","221","577","2014-12-07T08:57:46","538","a","5","Garland","333"
"33","17058179","Weller Sp23l Featherweight Soldering Iron","264","4","a","a","a","a","a","158","617","2014-12-25T09:04:47","71","a","0","Rochester","728"
"34","89582596","Proxxon Engraving Tool","393","1","a","a","a","a","a","601","716","2016-02-06T10:33:07","130","a","3","Oxnard","592"
"35","24451123","Premiere Pads Premiere Pads 50 ""400"" Series Stainless Steel Scrubbers Large Pad50","376","9","a","a","a","a","a","234","672","2016-05-12T01:20:37","592","a","4","Lubbock","178"
"36","02228471","Porter Cable-piece15cslk 7-1/4"" 15-amp Circular Saw","649","1","a","a","a","a","a","854","570","2015-03-31T07:43:56","90","a","2","Amarillo","809"
"37","21056277","Arrow Fastener Powershot Heavy Duty Forward Action Stapler","924","6","a","a","a","a","a","318","873","2014-01-15T05:33:26","675","a","3","Fremont","274"
"38","41882320","Wagan 3-in-1 275 Psi Air Compressor","437","7","a","a","a","a","a","285","552","2015-10-28T04:33:23","808","a","2","Surprise","269"
